16:29:37.779 > X: -0.490979, Y: -0.239502, Z: 10.241103
16:29:37.798 > X: -0.450264, Y: -0.275427, Z: 10.236314
16:29:37.819 > X: -0.447869, Y: -0.196392, Z: 10.281818
16:29:37.838 > X: -0.450264, Y: -0.294587, Z: 10.147697
16:29:37.859 > X: -0.419128, Y: -0.306563, Z: 10.229129
16:29:37.879 > X: -0.495769, Y: -0.273032, Z: 10.224339
16:29:37.899 > X: -0.469424, Y: -0.237107, Z: 10.118958
16:29:37.918 > X: -0.411943, Y: -0.268242, Z: 10.265054
16:29:37.939 > X: -0.469424, Y: -0.198787, Z: 10.145303
16:29:37.959 > X: -0.502954, Y: -0.251477, Z: 10.181228
16:29:37.980 > X: -0.428708, Y: -0.227527, Z: 10.195599
16:29:37.999 > X: -0.464634, Y: -0.196392, Z: 10.217154
16:29:38.019 > X: -0.445474, Y: -0.244292, Z: 10.205178
16:29:38.039 > X: -0.452659, Y: -0.280217, Z: 10.178833
16:29:38.059 > X: -0.450264, Y: -0.246687, Z: 10.219548
16:29:38.078 > X: 0.081431, Y: -0.529299, Z: 7.448511
16:29:38.099 > X: 0.819097, Y: 1.264570, Z: 11.812237
16:29:38.119 > X: -1.070574, Y: -0.560435, Z: 10.518926
16:29:38.140 > X: -0.258662, Y: 0.055085, Z: 10.296189
16:29:38.159 > X: -0.083826, Y: -0.112566, Z: 10.454260
16:29:38.179 > X: -0.486189, Y: -0.273032, Z: 10.071057
16:29:38.199 > X: -0.273032, Y: -0.100591, Z: 10.415940
16:29:38.219 > X: -0.402363, Y: -0.237107, Z: 9.965676
16:29:38.239 > X: -0.265847, Y: -0.232317, Z: 10.171648
16:29:38.258 > X: -0.536484, Y: -0.285007, Z: 10.066267
16:29:38.279 > X: -0.354463, Y: -0.268242, Z: 10.197993
16:29:38.299 > X: -0.196392, Y: -0.191602, Z: 10.351274
16:29:38.319 > X: -0.399968, Y: -0.273032, Z: 10.358459
16:29:38.339 > X: -0.443079, Y: -0.287402, Z: 10.080637
16:29:38.359 > X: -0.467029, Y: -0.289797, Z: 10.217154
16:29:38.378 > X: -0.476609, Y: -0.251477, Z: 10.341694
16:29:38.398 > X: -0.548459, Y: -0.193997, Z: 10.320139
16:29:38.418 > X: -0.443079, Y: -0.328118, Z: 10.289004
16:29:38.438 > X: -0.376018, Y: -0.268242, Z: 10.308164
16:29:38.459 > X: -0.476609, Y: -0.251477, Z: 10.243499
16:29:38.479 > X: -0.196392, Y: -0.273032, Z: 9.704619
16:29:38.498 > X: -0.189207, Y: -0.292192, Z: 10.245893
16:29:38.518 > X: -0.455054, Y: -0.364043, Z: 10.008786
16:29:38.539 > X: -0.280217, Y: -0.210762, Z: 10.339299
16:29:38.559 > X: -0.368833, Y: -0.215552, Z: 10.200388
16:29:38.579 > X: -0.387993, Y: -0.208367, Z: 10.162067
16:29:38.599 > X: -0.371228, Y: -0.261057, Z: 10.126143
16:29:38.619 > X: -0.457449, Y: -0.251477, Z: 10.265054
16:29:38.639 > X: -0.335303, Y: -0.234712, Z: 10.178833
16:29:38.659 > X: -0.344883, Y: -0.244292, Z: 10.281818
16:29:38.679 > X: -0.455054, Y: -0.299377, Z: 10.164463
16:29:38.699 > X: -0.457449, Y: -0.249082, Z: 10.164463
16:29:38.719 > X: -0.423918, Y: -0.277822, Z: 10.209969
16:29:38.739 > X: -0.294587, Y: -0.251477, Z: 10.219548
16:29:38.758 > X: -0.445474, Y: -0.239502, Z: 10.193203
16:29:38.779 > X: -0.411943, Y: -0.241897, Z: 10.162067
16:29:38.799 > X: -0.490979, Y: -0.222737, Z: 10.190808
16:29:38.819 > X: -0.428708, Y: -0.251477, Z: 10.200388
16:29:38.839 > X: 13.622871, Y: 2.078877, Z: -19.620001
